"","C","i3","i1","i5","i8","i7","i9"
"C",0,25.0771609454844,47.688843922288,33.7211049243967,53.3177483893068,31.9906490335841,47.688843922288
"i3",23.8348846694388,0,31.9906508108423,38.4391029874492,67.4320936016316,54.3631914610577,71.5237282736316
"i1",47.688843922288,31.9906508108423,0,33.7211049243967,64.8638404204688,68.2800333993834,90.4832194648248
"i5",33.7211049243967,40.4425524010312,35.4786518658063,0,31.9906490335841,38.4479751419867,62.1786451999028
"i8",56.0966741040653,70.9466602247629,68.2445494629117,33.6580044624392,0,33.7211049243967,53.3177483893068
"i7",33.6580044624392,57.1966057602588,71.8387947190224,38.4479751419867,33.7211049243967,0,23.844421961144
"i9",50.1743906433368,75.2515512541468,95.1992127863912,62.1786451999028,53.3177483893068,23.844421961144,0
