"","C","u.2.1","u.2.2","i4","i5","i1"
"C",0,22.8203809864193,72.6051520700664,71.9570491556072,35.5265002275164,24.9259500866008
"u.2.1",21.3266228306723,0,85.778995900066,88.0589795087226,53.1912426733294,33.4893937366723
"u.2.2",77.6905581803077,91.7871236629498,0,16.1001017728543,42.2746609108774,55.9891387180223
"i4",76.9970608767827,94.2268017594511,15.0462342521556,0,39.1216577256681,59.6117533476564
"i5",38.0148454231598,56.9168607980768,39.5074801370488,36.5608636999751,0,26.7792582133394
"i1",26.6718121261382,35.8350560303398,52.3242466794946,55.7097351125344,25.0263630541904,0
